Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,2.680000,2.700000,2.535000,2.540000,2.540000,21700
2021-09-28,2.690000,2.690000,2.470000,2.470000,2.470000,39600
2021-09-29,2.400000,2.490000,2.320000,2.420000,2.420000,14300
2021-09-30,2.415000,2.700000,2.300000,2.609000,2.609000,39200
2021-10-01,2.350000,2.660000,2.350000,2.610000,2.610000,12000
2021-10-04,2.520000,2.670000,2.520000,2.630000,2.630000,21400
2021-10-05,2.650000,2.810000,2.650000,2.700000,2.700000,33300
2021-10-06,2.620000,2.800000,2.620000,2.659000,2.659000,10200
2021-10-07,2.686000,2.750000,2.600000,2.620000,2.620000,15100
2021-10-08,2.520000,2.770000,2.520000,2.670000,2.670000,17200
2021-10-11,2.800000,2.800000,2.290000,2.300000,2.300000,44700
2021-10-12,2.580000,2.580000,2.368000,2.400000,2.400000,37200
2021-10-13,2.539000,2.539000,2.370000,2.400000,2.400000,16800
2021-10-14,2.390000,2.390000,2.300000,2.390000,2.390000,12100
2021-10-15,2.390000,2.400000,2.280000,2.340000,2.340000,17800
2021-10-18,2.750000,2.750000,2.465000,2.490000,2.490000,22600
2021-10-19,2.520000,2.527000,2.390000,2.431000,2.431000,17900
2021-10-20,2.400000,2.528000,2.400000,2.460000,2.460000,9900
2021-10-21,2.470000,2.470000,2.370000,2.440000,2.440000,17100
2021-10-22,2.370000,2.475000,2.300000,2.360000,2.360000,16300
2021-10-25,2.660000,2.660000,2.350000,2.350000,2.350000,21800
2021-10-26,2.450000,2.990000,2.305000,2.690000,2.690000,349900
2021-10-27,2.750000,2.750000,2.480000,2.550000,2.550000,38600
2021-10-28,2.530000,2.600000,2.420000,2.450000,2.450000,28000
2021-10-29,2.410000,2.590000,2.380000,2.390000,2.390000,29100
2021-11-01,2.450000,2.590000,2.410000,2.490000,2.490000,15800
2021-11-02,2.530000,2.600000,2.380000,2.450000,2.450000,20700
2021-11-03,2.500000,2.505000,2.380000,2.460000,2.460000,18900
